"","precinct","comp_count"
"1","",1283
"2","01",377
"3","05",279
"4","06",290
"5","07",299
"6","09",319
"7","10",219
"8","100",146
"9","101",384
"10","102",333
"11","103",589
"12","104",258
"13","105",426
"14","106",249
"15","107",266
"16","108",196
"17","109",257
"18","110",243
"19","111",119
"20","112",242
"21","113",511
"22","114",555
"23","115",249
"24","120",552
"25","122",260
"26","123",162
"27","13",345
"28","14",658
"29","17",184
"30","18",478
"31","19",270
"32","20",165
"33","22",21
"34","23",387
"35","24",263
"36","25",497
"37","26",174
"38","28",397
"39","30",218
"40","32",478
"41","33",275
"42","34",360
"43","40",753
"44","41",351
"45","42",540
"46","43",561
"47","44",806
"48","45",272
"49","46",586
"50","47",575
"51","48",500
"52","483",7
"53","49",328
"54","50",237
"55","52",591
"56","60",467
"57","61",328
"58","62",246
"59","63",295
"60","66",149
"61","67",694
"62","68",262
"63","69",348
"64","70",453
"65","71",419
"66","72",277
"67","73",774
"68","75",1207
"69","76",200
"70","77",491
"71","78",250
"72","79",577
"73","81",384
"74","83",359
"75","84",427
"76","88",247
"77","90",398
"78","94",149
"79","Precinct 0",81
